Store_ID,Country,City,Store_name,Region_Group,fitzpatrick_skin_type,Dominant_Undertone,
ST001,Japan,Tokyo,UNIQLO Ginza flag-ship store,East Asia,Type III-IV,Neutral_Warm,
ST002,Japan,Tokyo,UNIQLO TOKYO,East Asia,Type III-IV,Neutral_Warm,
ST003,Japan,Osaka,UNIQLO OSAKA,East Asia,Type III-IV,Neutral_Warm,
ST004,Japan,Shinjuku,UNIQLO Shinjuku,East Asia,Type III-IV,Neutral_Warm,
ST005,China,Hong Kong,UNIQLO Lee Theatre,East Asia,Type III-IV,Neutral_Warm,
ST006,China,Shanghai,UNIQLO Shanghai Global Flagship Store,East Asia,Type III-IV,Neutral_Warm,
ST007,South Korea,Seoul,UNIQLO Myeongdong Central,East Asia,Type III-IV,Neutral_Warm,
ST008,South Korea,Jeju Island,UNIQLO Jeju Donam,East Asia,Type III-IV,Neutral_Warm,
ST009,South Korea,Seoul,UNIQLO Lotte World,East Asia,Type III-IV,Neutral_Warm,
ST010,India,Mumbai,UNIQLO Phoenix Palladium,South Asia,Type IV-V,Warm,
ST011,India,Delhi,UNIQLO Ambience Mall,South Asia,Type IV-V,Warm,
ST012,India,Delhi,UNIQLO Pacific Mall,South Asia,Type IV-V,Warm,
ST013,UK,London,UNIQLO Regent Street,Europe,Type II-III,Cool_Neutral,
ST014,UK,London,UNIQLO Oxford Street,Europe,Type II-III,Cool_Neutral,
ST015,UK,London,UNIQLO Convent Garden,Europe,Type II-III,Cool_Neutral,
ST016,France,Paris,UNIQLO Le Marais,Europe,Type II-III,Cool_Neutral,
ST017,France,Paris,UNIQLO Paris Opéra,Europe,Type II-III,Cool_Neutral,
ST018,Sweden ,Stockholm ,UNIQLO Kings Garden,Europe,Type I-II,Cool ,
ST019,Sweden ,Stockholm ,UNIQLO Mall of Scandinavia,Europe,Type I-II,Cool ,
ST020,Luxembourg,Luxembourg City,UNIQLO Grand Rue,Europe,Type III,Neutral,
ST021,Indonesia,Bali,UNIQLO BEACHWALK,Southeast Asia,Type IV-V,Warm,
ST022,Scotland ,Edinburgh,UNIQLO Edinburgh Princes Street,Europe,Type I-III,Cool_Neutral,
ST023,Scotland ,Glasgow,UNIQLO Glasgow,Europe,Type II,Cool,
ST024,Denmark,Copenhagen,UNIQLO Strøget,Europe,Type I-III,Cool_Neutral,
ST025,Netherlands,Rotterdam,UNIQLO Binnenwegplein 177,Europe,Type I-II,Cool ,
ST026,Indonesia,Jakarta,UNIQLO One District Puri,Southeast Asia,Type IV-V,Warm,
ST027,Indonesia,Jakarta,UNIQLO Grand Indonesia Mall,Southeast Asia,Type IV-V,Warm,
ST028,Indonesia,Jakarta,UNIQLO Lotte Shopping Avenue,Southeast Asia,Type IV-V,Warm,
ST029,Canada,Toronto,UNIQLO CF Toronto Eton Centre,North America,Type II-III,Cool_Neutral,
ST030,Canada,Vancouver,UNIQLO Metrotown,North America,Type II-III,Cool_Neutral,
ST031,Germany,Berlin,UNIQLO Tauentzien Flagship Store,Europe,Type III-IV,Neutral_Warm,
ST032,Germany,Hamburg,UNIQLO Hamburg,Europe,Type I-III,Cool_Neutral,
ST033,Vietnam,Hanoi,UNIQLO Hoan Kiem,Southeast Asia,Type III-IV,Neutral_Warm,
ST034,Spain,Madrid,UNIQLO Gran Via,Europe,Type III-IV,Neutral_Warm,
ST035,Spain,Barcelona,UNIQLO Passeig de Gràcia ,Europe,Type III-IV,Neutral_Warm,
ST036,China,Macau,UNIQLO Ruins of St. Paul’s,East Asia,Type III-IV,Neutral_Warm,
ST037,Taiwan,Taipei,UNIQLO TAIPEI,East Asia,Type IV-V,Warm,
ST038,USA,New York,UNIQLO Fifth Avenue,North America,Type II-IV,Neutral,
ST039,USA,New York,UNIQLO SoHo,North America,Type II-IV,Neutral,
ST040,Belgium,Brussels,UNIQLO Porte de Namur,Europe,Type III,Neutral,
ST041,Thailand,Bangkok,UNIQLO CentralWorld,Southeast Asia,Type III-IV,Neutral_Warm,
ST042,Malaysia,Kuala Lumpur,UNIQLO The Exchange TRX,Southeast Asia,Type III-V,Neutral_Warm,
ST043,Singapore ,Singapore,UNIQLO Orchard Central,Southeast Asia,Type IV-V,Warm,
ST044,China,Kunming,UNIQLO Shi Ping Hui Guan,East Asia,Type III-IV,Neutral_Warm,
ST045,China,Beijing,UNIQLO BEIJING SANLITUN,East Asia,Type III-IV,Neutral_Warm,
ST046,Philippines,Manila,UNIQLO Manila,Southeast Asia,Type IV-V,Warm,
ST047,Vietnam,Ho Chi Minh City,UNIQLO Vincom Center Landmark 81,Southeast Asia,Type III-IV,Neutral_Warm,
ST048,Thailand,Bangkok,UNIQLO Siam Paragon,Southeast Asia,Type III-IV,Neutral_Warm,
ST049,China,Shenzhen,UNIQLO Shenzhen Sun Plaza Store,East Asia,Type III-IV,Neutral_Warm,
ST050,China,Wuhan,UNIQLO Wuhan City Flagship Store,East Asia,Type III-IV,Neutral_Warm,
